,0,1
736,면곡시장,736
737,태릉시장,737
738,경문고교,738
739,송파세무서,739
740,미림여고입구,740
741,상봉역,741
742,문래동신안인스빌,742
743,동서울터미널 동측,743
744,성동구치소,744
745,은마아파트입구,745
746,보문역,746
747,광장중교지하차도,747
748,행주대교고양시계,748
749,자곡사거리,749
750,유원강변아파트,750
751,청계9가,751
752,당서초교,752
753,외발산사거리,753
754,동원사거리,754
755,독산한신아파트,755
756,수락산역,756
757,한강시민공원양화지구,757
758,개나리아파트,758
759,올림픽선수촌아파트,759
760,송파소방서,760
761,면목2동사거리,761
762,종로2가,762
763,한성대입구역,763
764,문현고등학교,764
765,한남오거리,765
766,면목교,766
767,포스코사거리,767
768,동대문역사문화공원역,768
769,개롱근린공원,769
770,명일여고앞,770
771,서대문구청앞,771
772,대모산입구역,772
773,봉림교,773
774,차관아파트,774
775,정외과의원,775
776,성수대교남단교차로,776
777,장지역,777
778,서라벌고교,778
779,상계초교,779
780,월드컵파크12단지,780
781,올림픽대교남단교차로,781
782,금호사거리,782
783,난곡우체국앞,783
784,강남구-송파구경계,784
785,개포시립도서관입구,785
786,하계현대아파트,786
787,행주대교남단교차로,787
788,거리공원오거리,788
789,방송회관,789
790,적선현대빌딩,790
791,세곡동사거리,791
792,광교,792
793,구로구-영등포구경계(5),793
794,용산고교,794
795,KT중랑지점,795
796,장평교서측,796
797,성신여대입구역,797
798,도림사거리,798
799,만리시장,799
800,성북세무서,800
801,성북동서울아파트,801
802,중랑초교,802
803,월릉교서측,803
804,의원회관앞,804
805,미래초교_거리공원길_진,805
806,양화대교북단,806
807,경복궁역,807
808,올림픽공원,808
809,거리공원_거리공원길_진,809
810,강동구청,810
811,신사역,811
812,경복아파트,812
813,화양삼거리,813
814,당인리발전소,814
815,고척2파출소앞,815
816,대방천사거리,816
817,무지개아파트,817
818,여의중고교앞,818
819,제각말아파트,819
820,동아아파트앞,820
821,가양대교북단,821
822,삼호가든사거리,822
823,장곡초교,823
824,혜원사거리,824
825,청계7가,825
826,위례1지하차도,826
827,먹골역입구,827
828,철산대교(동단),828
829,원효대교남단,829
830,양재초교교차로,830
831,대명초교입구,831
832,능산삼거리,832
833,상계10동주민센터,833
834,크라운호텔,834
835,현대시장,835
836,궁동삼거리,836
837,여의도국민은행,837
838,아시아선수촌아파트,838
839,신길주유소,839
840,아차산로 서울구리시계,840
841,개봉지하차도,841
842,도화우성아파트입구,842
843,마이크로오피스앞,843
844,목동극동아파트,844
845,중랑교,845
846,문정중학교,846
847,자양사거리,847
848,암사역,848
849,청계3가,849
850,도봉문화정보센터,850
851,양천구청,851
852,강서면허시험장삼거리,852
853,신림우방아파트,853
854,중암교,854
855,상봉지하차도,855
856,황학사거리,856
857,보라매역,857
858,산업안전협회,858
859,장충체육관,859
860,선사사거리,860
861,강남구청역,861
862,양재역,862
863,한양공고앞,863
864,디지털3단지,864
865,CBS방송국,865
866,논골사거리,866
867,뚝도아리정수센터,867
868,하월곡램프(북부간선도로),868
869,서빙고동주민센터,869
870,천호동공원,870
871,경일초교,871
872,휘문고교,872
873,잠실대교북단교차로,873
874,행당동한진아파트,874
875,독산3동주민센터,875
876,남영삼거리,876
877,당산역(노들로),877
878,원효동산호아파트,878
879,신내IC,879
880,서초터널중간부,880
881,암사역입구(올림픽대로),881
882,서울-하남 경계,882
883,성동JC,883
884,둔촌사거리,884
885,이화우성아파트,885
886,청계6가,886
887,강북구민운동장,887
888,경성고교입구,888
889,전자상가입구,889
890,영동3교(남단),890
891,조계사앞,891
892,시립구로도서관,892
893,남부순환로탄천IC합류,893
894,가양아파트,894
895,박미삼거리,895
896,퇴계로4가,896
897,석관중학교후문,897
898,강월초교,898
