0 1 2 3 4 5 6 7
1729 3.9813435 1.7048792 -3.4742527 0.23839247 -0.30372941 2.0093608 -2.8475766 2.62257
1710 -0.43619463 0.2023487 -0.18583138 0.43867922 -0.20817707 0.13850032 -0.44505477 0.2195185
1669 1.2106107 1.1999152 1.3320235 -1.6394047 -2.013902 3.1474848 -0.8081897 3.8532062
914 5.070161 -1.2580452 -3.089472 0.1565569 1.4223049 1.1143193 -2.0375547 3.169903
1777 -0.26415008 -0.09316631 -0.09089565 0.11497947 -0.31253177 0.21450399 -0.62390465 0.14965229
1011 -0.6018443 -0.19203232 -0.33188003 -0.93435895 -0.32850197 0.69145167 -1.4960203 0.12095308
959 5.2063804 -1.9346884 -2.72118 1.0040051 2.0721343 2.2941818 -2.4673502 2.0822413
304 1.5410036 1.1172208 3.5969145 -1.6084294 -1.5814185 3.6990423 -1.5831903 4.787645
872 -0.49872422 0.17940858 -0.20258166 0.5859332 -0.15234005 0.098887384 -0.3445307 0.24172606
235 -0.12545453 -1.4111608 -0.3494177 0.8323516 -0.019707002 -0.4810774 1.032132 0.76338863
916 6.156726 -1.6617116 -1.8917981 0.85325533 2.6372616 1.848405 -3.5387366 3.3085606
904 -0.57784647 -0.6332903 -0.42211094 -1.2632912 -0.27169096 0.6697082 -1.4544427 0.17038953
1414 1.5554975 0.8663635 -0.7627198 -1.1553138 -1.18859 2.0125954 -0.78604585 3.2063415
871 1.7764328 1.2024286 3.9184036 -1.7757311 -1.7840768 4.1054616 -1.6030004 5.3655252
398 0.48244083 -2.6924844 0.9788486 -0.68655896 -4.33862 1.8624297 0.5613446 0.96665645
117 5.395786 -1.5392992 -2.5078068 0.7764304 2.0978007 1.8089552 -2.876771 2.624941
776 -0.66893476 -0.43433526 -0.42115322 -1.3224794 -0.23402272 0.880704 -1.5637329 0.22933164
540 4.6270127 1.3386246 -0.9933498 -0.82539046 -0.84178406 6.164917 -0.8536995 5.297339
1497 3.819928 -3.938674 4.5882916 1.8908477 -3.7708056 -2.4211843 -5.877397 1.4126195
1238 4.151507 -6.037237 3.8886194 3.6593826 -3.8961904 0.5106687 -5.960021 -1.2190497
156 4.232852 -6.2335916 4.0130267 4.029845 -4.3254786 0.7372796 -6.133402 -1.5062988
1161 3.9228342 1.2269099 -1.04106 -0.805498 -0.052054297 4.868287 -1.4377645 4.5305166
131 0.5633477 -0.094049655 2.2871025 -1.9925368 -1.2925364 3.422396 -0.76616794 3.6408427
103 5.3929367 -1.365583 -2.4497736 0.82032865 2.065386 1.8071841 -2.9773238 2.560303
1369 -0.24914305 -0.071628205 -0.094998725 0.30736154 -0.27831566 0.11047431 -0.49446645 0.2088945
1386 -0.086349554 -1.2066789 -0.26672706 0.856847 -0.0558954 -0.37018114 0.8552465 0.67777556
1151 0.012699761 -1.5820417 -0.4180125 0.807948 0.22298603 -0.46948352 1.0482532 0.81611097
503 4.832523 1.343363 -0.9459877 -0.93611825 -1.104173 6.36281 -0.7210637 5.6925035
838 3.4082053 1.4633048 -3.4735606 0.61572707 -0.6294116 2.3375108 -2.4016805 1.8435063
1517 4.2133174 -6.30025 3.9827611 4.2208204 -4.5383873 0.7477273 -6.2082076 -1.7009629
632 0.25289133 -0.48072144 2.1261923 -2.0117803 -1.0269032 3.167804 -0.8172372 3.0816166
400 0.12987022 -0.50012153 2.166972 -2.0043352 -0.9090831 2.915982 -1.0174497 2.8678591
1421 4.782031 2.205039 -3.3306706 -0.8665626 -0.97480386 1.9988534 -2.7128248 4.796205
1754 -0.22879218 -0.15024003 -0.13696413 0.38221398 -0.23588936 0.047845718 -0.31599057 0.24133693
516 1.3419685 0.80800337 3.4794104 -1.5622895 -1.3816319 3.9268851 -1.3329625 4.6456437
